Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2022,Jun 2022,79.84,2022-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2022,Jul 2022,80.03,2022-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2022,Aug 2022,80.28,2022-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2022,Sep 2022,80.85,2022-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2022,Oct 2022,80.86,2022-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2022,Nov 2022,81.49,2022-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2022,Dec 2022,81.62,2022-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2023,Jan 2023,84.34,2023-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2023,Feb 2023,85.1,2023-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2023,Mar 2023,85.92,2023-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2023,Apr 2023,86.03,2023-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2023,May 2023,86.4,2023-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2023,Jun 2023,86.5,2023-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2023,Jul 2023,86.52,2023-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2023,Aug 2023,86.87,2023-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2023,Sep 2023,86.87,2023-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2023,Oct 2023,87.26,2023-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2023,Nov 2023,87.54,2023-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2023,Dec 2023,88.1,2023-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2024,Jan 2024,89.5,2024-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2024,Feb 2024,89.73,2024-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2024,Mar 2024,90.03,2024-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2024,Apr 2024,90.14,2024-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2024,May 2024,90.29,2024-05-01
